"...1","id","host_response_rate","host_acceptance_rate","host_is_superhost","host_total_listings_count","host_has_profile_pic","host_identity_verified","neighbourhood_group_cleansed","accommodates","bedrooms","beds","minimum_nights_avg_ntm","maximum_nights_avg_ntm","has_availability","availability_60","availability_365","number_of_reviews","review_scores_accuracy","review_scores_cleanliness","review_scores_checkin","review_scores_communication","review_scores_location","review_scores_value","calculated_host_listings_count","reviews_per_month","n_days_last_review","n_character_in_desription","n_days_host_since","n_characters_in_host_about","n_host_verifications","classes_property_type","bathrooms_type","bathroom_number","n_amenities","amenities_Wifi","amenities_Backyard","amenities_TV","amenities_Washer","amenities_Dishwasher","amenities_AC","amenities_Breakfast","price_new","price_per_accomate","lasso_rating"
6652,17457160,90,79,0,1,1,1,"Brooklyn",2,1,1,30,1125,1,0,0,21,5,5,4.85,4.95,5,5,1,0.43,776,677,3862,288,5,2,1,1,20,1,0,1,1,0,1,0,71,35.5,0.869518689073845
6653,17457491,100,100,1,1,1,1,"Brooklyn",2,1,1,30,1125,1,2,3,21,4.9,4.81,5,5,4.9,4.9,1,0.58,122,999,1681,0,1,2,1,1,31,1,0,1,1,1,1,0,79,39.5,0.581934565549237
6654,17460510,100,94,0,1,1,1,"Manhattan",2,1,1,30,1125,1,28,147,20,4.8,4.7,4.95,5,4.4,4.45,1,0.59,644,539,3615,68,8,3,2,1,32,1,1,0,1,1,1,0,158,79,-0.198705427106001
6655,17461341,90,79,0,2,1,1,"Brooklyn",1,1,1,30,1125,1,0,0,32,4.93,4.97,4.97,4.93,4.63,4.97,1,0.62,1212,643,1734,0,6,2,1,1,14,1,0,0,1,0,1,0,60,60,0.605599058828269
6656,17463059,100,96,1,2,1,1,"Manhattan",7,3,3,1,1125,1,7,44,251,4.84,4.76,4.9,4.9,4.79,4.8,3,4.87,79,1000,1690,271,6,3,2,1,30,1,0,1,1,1,1,0,180,25.7142857142857,0.224355416182916
6657,17464151,40,100,0,1,1,1,"Manhattan",2,1,1,30,90,1,2,307,7,5,5,5,5,5,4.83,1,0.14,289,883,1681,45,5,3,2,1,29,1,0,1,1,1,1,0,145,72.5,0.600869693345771
6658,17465159,90,95,0,3,1,1,"Manhattan",2,1,1,30,1125,1,18,244,177,4.76,4.55,4.83,4.78,4.76,4.67,3,3.76,246,1000,2787,375,4,2,1,1,28,1,0,0,1,1,1,0,60,30,-0.230983232857212
6659,17475107,90,79,0,1,1,1,"Bronx",2,1,1,1,21,1,0,0,116,4.66,4.9,4.87,4.9,4.71,4.74,1,3.49,980,468,1896,285,4,1,1,1,25,1,0,1,1,0,1,0,35,17.5,0.250267180547597
6660,17478246,90,79,0,1,1,1,"Brooklyn",2,1,1,30,1125,1,0,0,14,4.8,3.7,4.9,4.9,4.8,4.8,1,0.27,1203,561,1680,545,7,2,2,1,13,1,0,0,1,0,1,0,52,26,-0.464995767718258
6661,17478780,100,91,0,2,1,1,"Queens",4,1,2,30,1125,1,0,0,61,4.98,4.89,5,4.93,4.78,4.83,1,1.82,646,269,1680,0,7,3,2,1,18,1,0,1,0,0,1,0,163,40.75,0.538524620172693
